example_id, text, aspect_term, term_location, class
2333_1,"Obviously one of the most important features of any computer is the ""human interface.",human interface,69--84,0
1805_1,Good for every day computing and web browsing.,every day computing,9--28,1
2782_2,while the keyboard itself is alright[comma] the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.,mouse command buttons,115--136,-1
1385_0,Again[comma] the same problem[comma] the right speaker did not work.,right speaker,29--42,-1
1423_0,My problem was with DELL Customer Service.,DELL Customer Service,20--41,-1
104_0,Is this partially due to the fact that it is running Windows Vista?,Windows Vista,53--66,0
398_0,Accordingly[comma] I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.,hard drive,117--127,-1
2766_1,I did think it had a camera because that was one of my requirements[comma] but forgot to check in the specifications on this one before I purchased.,specifications,96--110,0
2808_5,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,setup,138--143,-1
1727_0,The most recent being that my Safari internet browser is freaking out on me[comma] but I have just been using firefox instead.,Safari internet browser,30--53,-1
1440_0,My last computer[comma] a Toshiba[comma] cost only $400[comma] and worked like a charm for many years.,cost,29--33,1
267_0,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,bluray player,18--31,0
2219_0,The touchpad is very intuitive[comma] so much so that I never want to use buttons to click again!,touchpad,4--12,1
2845_1,I bought this laptop because of the performance to price ratio.,price,51--56,1
1757_2,Great Laptop for the price[comma] works well with action pack games.,works,28--33,1
667_0,The battery is really long.,battery,4--11,1
2034_0,I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,warranty,101--109,-1
2009_1,_ The battery never held a charge longer than one hour and within two months[comma] stopped holding a charge for more than ten minutes.,charge,27--33,-1
2063_0,Web access through the 3G network is so slow[comma] it's very frustrating and VERY DISAPPOINTING.,3G network,23--33,-1
2142_0,everything about a mac is wonderful[comma] it takes a little used to learning and getting used to the new system[comma] but you will learn fast and its all worth it.,system,100--106,0
3074_0,The screen is bright and the keyboard is nice;,screen,4--10,1
1852_0,_ After that the said it was under warranty.,warranty,35--43,0
